Wall time,Step,Value1,Value2
1688435051,0,0.579153597,0.553498149
1688435089,1,0.199553639,0.460146964
1688435126,2,0.135026351,0.881146967
1688435164,3,0.091349036,0.915609419
1688435201,4,0.08300221,0.611552298
1688435238,5,0.096005,1.106027007
1688435275,6,0.075797729,0.568022072
1688435312,7,0.023591885,0.404435664
1688435350,8,0.016016411,2.098557711
1688435387,9,0.081042029,0.697953522
1688435424,10,0.095760509,0.474678099
1688435461,11,0.038127404,0.567584932
1688435498,12,0.061288677,0.387375891
1688435536,13,0.027623035,0.399005949
1688435573,14,0.006189297,1.007340193
1688435610,15,0.004323981,0.553191602
1688435647,16,0.055551078,0.437474519
1688435684,17,0.010076805,0.415657371
1688435721,18,0.036167759,0.729826748
1688435759,19,0.090621032,0.634402931
1688435796,20,0.033188447,0.378431797
1688435833,21,0.009551555,1.394198656
1688435870,22,0.036989693,0.451554179
1688435907,23,0.024875563,0.425312757
1688435944,24,0.008126619,0.612416327
1688435981,25,0.014080889,0.503535211
1688436018,26,0.062220842,0.465258688
1688436055,27,0.027422309,0.430979341
1688436092,28,0.024464903,0.312985659
1688436129,29,0.023760134,0.491085976
1688436167,30,0.026308496,0.675956905
1688436204,31,0.006116835,0.72136724
1688436241,32,0.052952364,0.54434824
1688436278,33,0.067522354,0.533717155
1688436315,34,0.049473565,0.6516366
1688436352,35,0.038947091,0.53655237
1688436389,36,0.018054016,0.424811959
1688436426,37,0.007049387,0.442344874
1688436463,38,0.028083753,0.614036024
1688436501,39,0.024967641,0.79491514
